CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
1.4078,80.0,26.46,0,0.585,6.947,8.4,1.0303,3,384.0,18.7,391.54,9.22,36.5
9.03036,25.0,1.58,0,0.507,6.639,50.6,1.0,1,200.0,15.2,110.68,35.25,32.4
3.95024,80.0,19.9,0,0.738,6.788,92.9,4.9002,5,403.0,18.7,157.13,15.0,38.7
2.73883,12.5,25.94,1,0.861,6.641,13.1,1.0,1,711.0,13.0,272.85,5.49,35.6
0.50887,0.0,5.47,0,0.506,5.831,77.1,3.5618,1,666.0,15.2,323.45,27.19,30.6
0.50879,0.0,16.12,0,0.701,6.582,42.7,1.2539,2,242.0,18.7,165.85,12.58,36.4
0.17952,80.0,25.68,0,0.477,6.84,66.5,1.0,4,222.0,17.8,123.13,11.47,37.1
6.03369,25.0,1.43,0,0.657,6.808,28.2,1.815,6,242.0,14.7,372.24,37.9,27.1
2.75725,0.0,19.68,0,0.607,7.112,18.4,6.1434,8,711.0,20.2,268.86,32.83,27.5
3.69375,0.0,8.68,0,0.856,6.776,18.5,1.8914,3,330.0,19.2,47.52,16.51,38.1
0.0624,0.0,25.92,0,0.678,6.526,9.7,5.2796,1,242.0,14.7,27.66,37.25,30.2
10.51067,25.0,27.2,0,0.551,7.029,20.9,1.0,3,666.0,18.7,192.09,25.29,31.8
5.35929,80.0,26.47,0,0.436,6.261,67.4,5.6308,3,307.0,15.2,87.6,28.62,29.4
0.71606,0.0,13.54,0,0.454,5.663,88.5,1.0276,5,330.0,17.8,101.05,2.87,41.9
0.60204,0.0,24.21,0,0.49,6.166,82.0,4.299,4,403.0,17.8,348.4,6.14,42.1
0.60783,0.0,23.73,0,0.503,5.759,69.4,3.17,4,384.0,19.2,35.84,24.67,32.8
1.08826,80.0,9.28,0,0.797,5.807,13.6,10.059,24,711.0,17.8,284.02,34.31,23.6
2.23178,25.0,23.3,0,0.655,6.179,31.0,1.8617,7,403.0,14.7,107.85,24.33,29.6
1.69661,25.0,1.52,0,0.636,5.725,33.0,1.0,4,242.0,17.8,301.85,6.59,37.5
1.03267,0.0,16.9,0,0.436,6.064,27.2,1.0,3,270.0,19.2,286.81,5.93,35.0
2.83911,0.0,6.83,0,0.801,4.954,52.9,6.6639,6,330.0,17.8,3.25,32.32,26.8
0.4507,0.0,3.82,0,0.734,6.429,54.9,2.8268,3,711.0,17.8,202.23,6.78,44.2
1.03655,0.0,2.62,0,0.413,6.281,37.6,5.6724,6,384.0,21.0,55.57,20.58,37.8
1.36883,25.0,19.65,0,0.727,5.708,37.3,1.0151,24,432.0,14.7,343.85,3.07,42.0
1.8268,25.0,9.85,0,0.646,6.741,83.4,1.6083,6,200.0,18.7,345.97,4.65,43.3
4.61381,80.0,20.43,0,0.42,6.936,79.5,1.0,4,403.0,12.6,166.23,26.1,38.7
0.66821,80.0,2.3,1,0.605,5.155,32.8,12.3762,5,403.0,17.8,176.56,26.71,32.0
2.16609,0.0,9.17,0,0.618,5.746,91.6,4.1884,6,330.0,20.2,120.6,14.1,38.0
2.69251,12.5,15.34,0,0.461,5.742,95.4,10.2833,3,270.0,17.8,284.51,9.54,32.5
0.14269,80.0,22.24,0,0.843,5.622,34.6,1.1725,8,242.0,21.0,142.56,31.22,32.7
2.806,25.0,9.27,0,0.796,6.861,37.3,3.5924,4,711.0,18.7,106.52,9.6,40.2
0.56088,0.0,17.71,0,0.708,6.144,52.0,4.3121,8,242.0,20.2,171.73,21.37,33.3
0.20179,0.0,24.86,1,0.607,6.095,94.3,1.4518,3,330.0,20.2,36.6,36.82,26.4
8.92106,0.0,17.44,0,0.582,4.877,88.0,7.1615,7,403.0,14.7,296.41,7.09,32.6
10.11189,80.0,6.91,0,0.699,6.725,12.9,11.174,24,384.0,19.2,5.32,35.83,29.9
4.95699,0.0,1.17,0,0.647,5.413,41.0,8.2139,4,711.0,19.2,255.91,8.36,35.9
1.08986,0.0,24.43,0,0.411,6.322,56.6,5.1053,8,200.0,18.7,72.84,22.29,31.9
0.30833,0.0,1.08,0,0.631,6.474,51.8,1.235,3,711.0,19.2,92.49,15.39,34.4
3.45825,0.0,24.55,0,0.775,7.232,21.7,1.2569,7,330.0,13.0,252.4,36.7,29.3
1.74027,0.0,15.05,0,0.605,5.364,86.3,12.5652,3,384.0,21.0,394.1,11.64,34.5
0.39046,0.0,26.32,0,0.405,4.166,68.6,1.0,7,384.0,12.6,308.75,16.21,30.0
2.05064,0.0,22.47,0,0.765,6.409,84.3,4.784,6,432.0,12.6,89.88,37.35,23.1
0.10498,0.0,27.94,0,0.479,7.54,86.3,4.655,2,711.0,14.7,70.13,21.17,39.5
7.20127,12.5,10.14,0,0.507,7.147,75.6,3.7038,3,711.0,14.7,343.85,19.95,33.7
0.89837,0.0,21.6,0,0.461,6.427,45.5,13.0,6,666.0,12.6,176.47,11.07,34.9
3.25877,25.0,11.55,0,0.542,5.936,62.2,1.4204,4,307.0,19.2,54.67,27.15,29.2
1.12064,0.0,13.7,0,0.751,6.845,18.5,1.5788,6,200.0,15.2,342.26,2.25,44.1
2.20233,0.0,17.76,0,0.634,5.599,68.3,1.0,1,222.0,13.0,323.97,3.52,39.2
2.37367,25.0,24.53,0,0.48,6.613,20.3,2.2223,1,270.0,17.8,390.52,23.45,33.7
0.61317,0.0,27.56,0,0.81,6.634,70.3,1.1496,3,307.0,18.7,361.11,14.11,37.6
10.47842,0.0,21.63,0,0.811,7.022,25.2,1.5985,8,432.0,21.0,338.12,36.28,22.6
4.47674,0.0,11.99,0,0.807,8.212,14.3,6.837,8,711.0,15.2,21.17,34.46,34.1
8.41528,12.5,12.09,0,0.497,6.555,18.9,10.4152,4,200.0,13.0,41.73,27.59,24.4
6.75646,0.0,20.78,0,0.601,5.924,3.1,1.0,6,242.0,17.8,225.97,31.38,28.7
2.73316,12.5,7.07,0,0.863,6.262,72.7,1.7709,8,307.0,14.7,211.09,25.91,33.2
7.64831,0.0,3.54,0,0.758,5.042,74.0,10.0316,7,242.0,13.0,181.94,6.28,34.6
0.27797,0.0,10.25,0,0.393,5.794,52.9,1.0,7,270.0,12.6,157.68,29.47,30.8
0.6544,0.0,8.4,0,0.412,5.994,18.6,1.0,4,242.0,13.0,171.33,9.35,37.2
0.13885,0.0,8.65,0,0.607,5.913,11.0,1.0,24,270.0,18.7,226.09,13.45,37.5
1.1806,0.0,6.92,0,0.826,6.387,4.8,3.4367,6,200.0,20.2,1.14,31.42,32.8
1.47639,0.0,1.66,0,0.644,5.704,19.0,1.0,3,403.0,14.7,103.71,21.17,30.1
0.94968,0.0,0.99,0,0.624,7.065,89.4,13.0,5,270.0,21.0,205.86,32.89,32.7
5.29367,80.0,27.66,0,0.432,6.28,26.4,2.2491,5,384.0,21.0,286.74,9.45,42.3
1.32368,0.0,12.26,0,0.702,6.273,37.3,2.6455,5,222.0,13.0,69.39,23.76,33.4
0.98941,0.0,11.07,0,0.783,6.05,13.1,1.0763,8,222.0,20.2,217.2,4.77,38.4
2.34722,12.5,19.19,0,0.566,6.389,24.5,2.4194,24,330.0,17.8,283.66,25.03,38.9
0.45569,0.0,6.5,1,0.76,6.858,53.3,4.1209,24,222.0,15.2,176.65,29.36,32.1
4.86145,0.0,26.62,0,0.853,5.673,61.9,5.2859,6,330.0,17.8,11.06,22.93,31.4
0.23243,25.0,22.12,0,0.48,5.819,26.7,5.3272,6,711.0,15.2,178.49,11.38,37.8
13.00244,80.0,2.96,0,0.636,6.067,8.5,3.2775,24,222.0,20.2,117.88,2.87,38.4
